# threads	alloc size	glibc   	snmalloc	jemalloc	tbbmalloc
16      	2048      	0.22    	0.18    	0.13    	0.16    
16      	4096      	0.22    	0.18    	0.13    	0.15    
16      	8192      	0.22    	0.18    	0.13    	0.15    
16      	16384     	0.22    	0.18    	0.12    	0.16    
16      	32768     	0.22    	0.18    	0.13    	0.16    
16      	65536     	0.22    	0.18    	0.13    	0.15    
16      	131072    	0.22    	0.18    	0.13    	0.16    
16      	262144    	0.22    	0.18    	0.12    	0.15    
16      	524288    	0.22    	0.18    	0.13    	0.16    
16      	1048576   	0.22    	0.18    	0.12    	0.16    
16      	2097152   	0.24    	0.18    	0.13    	0.18    
16      	4194304   	0.26    	0.18    	0.13    	0.18    
16      	8388608   	0.28    	0.18    	0.14    	0.19    
16      	16777216  	0.31    	0.18    	0.14    	0.20    
16      	33554432  	0.36    	0.18    	0.16    	0.22    
16      	67108864  	0.45    	0.19    	0.17    	0.25    
16      	134217728 	0.60    	0.20    	0.20    	0.30    
16      	268435456 	0.91    	0.22    	0.25    	0.42    
16      	536870912 	1.40    	0.27    	0.36    	0.60    
